"Score","Recommendation","Drive","Path","Category","Provenance","DominantType","FilesScanned","StaleFiles","StalePct","EstimatedReclaimGB","TotalScannedGB","Depth","AuditLevel","CleanupMode"
"68","Medium","C","C:\\$Recycle.Bin","Recycle","Application","Mixed","6","6","100","0","0","Quick","FileLevel","Safe"
"68","Medium","D","D:\\$Recycle.Bin","Recycle","Application","Mixed","4","4","100","0","0","Quick","FileLevel","Safe"
"68","Medium","D","D:\$RECYCLE.BIN","Recycle","Application","Mixed","4","4","100","0","0","Quick","FileLevel","Safe"
"68","Medium","C","C:\$Recycle.Bin","Recycle","Application","Mixed","6","6","100","0","0","Quick","FileLevel","Safe"
"64,8","Medium","D","D:\Condivisa_con_Macchine_Virtuali","Virtualization","Virtualization","InstallerBinary","6000","6000","100","15,72","15,72","Quick","FileLevel","Safe"
"64,2","Medium","C","C:\Users\Pasquale Lombardi\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Cache","Browser","UserProfile","Mixed","623","623","100","0,095","0,095","Quick","FileLevel","Safe"
"64","Medium","C","C:\Users\p.lombardi.TEKNAUTOMAZIONE\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Cache","Browser","UserProfile","Mixed","20","20","100","0,007","0,007","Quick","FileLevel","Safe"
"56,6","Medium","C","C:\$Windows.~WS","Other","Application","Mixed","7","7","100","0","0","Quick","FileLevel","Safe"
"55,1","Medium","D","D:\Android","Other","Application","Mixed","6000","6000","100","3,929","3,929","Quick","FileLevel","Safe"
"53","Medium","D","D:\Autodesk","Other","Application","InstallerBinary","6000","6000","100","2,777","2,777","Quick","FileLevel","Safe"
"50,1","Medium","D","D:\AdobeAcrobat","Other","Application","InstallerBinary","1","1","100","1,139","1,139","Quick","FileLevel","Safe"
"49,6","Medium","D","D:\CsharpSW_test","Other","Application","Mixed","185","185","100","0,006","0,006","Quick","FileLevel","Safe"
"49,3","Medium","C","C:\iso_xubuntu","Other","Application","Archive","1","1","100","0,736","0,736","Quick","FileLevel","Safe"
"49,2","Medium","C","C:\inetpub","Other","IIS","Mixed","98","97","99","0,001","0,001","Quick","FileLevel","Safe"
"48,9","Medium","D","D:\codemeter_debs","Other","Application","Mixed","236","236","100","0,513","0,513","Quick","FileLevel","Safe"
